filename	read_id	run_id	channel	mux	start_time	duration	template_start	template_duration	sequence_length_template	mean_qscore_template	barcode
channel-180.pod5	e1b2347f-118f-40f4-b7cd-508ab190d0a8	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59942.9	0.7154	59943.6	0	250	20	unclassified
channel-180.pod5	a140c718-a834-4482-848f-d23202da6878	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60031.8	0.6876	60032.5	0	328	11	unclassified
channel-180.pod5	cb24d5bd-7981-458c-9b55-d2421d188ebd	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60100.7	0.9262	60101.6	0	294	17	unclassified
channel-180.pod5	99f00c74-898f-4781-ad30-7a4a791ca1e6	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60060.3	6.1112	60066.4	0	2484	23	unclassified
channel-180.pod5	b5f095dd-745c-4962-8f6a-074ee9387288	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60138.8	0.6138	60139.5	0	257	19	unclassified
channel-180.pod5	3a22117a-71a7-4bdc-a3ee-0380ad3e6a5a	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60023	1.6006	60024.6	0	328	8	unclassified
channel-180.pod5	36f972b2-7631-4143-b64c-cb51ff1e44e3	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59522.9	28.1196	59551	0	15120	20	unclassified
channel-180.pod5	0b798157-d135-4814-b3eb-f8110838ed12	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60051.3	0.7786	60052.1	0	276	23	unclassified
channel-180.pod5	f0baa637-0a51-474e-a071-368679f293ea	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60326.5	0.625	60327.1	0	222	22	unclassified
channel-180.pod5	3fed4e74-0502-4480-8df6-5b715a1396ca	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60112.4	0.8596	60113.2	0	316	20	unclassified
channel-180.pod5	d68729e8-3ead-4edd-96b7-a5e21d6f9531	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60042.6	1.0182	60043.6	0	452	17	unclassified
channel-180.pod5	75877b9c-ad6d-47a1-aeec-ac80fd9ed90c	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60169.8	0.6792	60170.4	0	312	14	unclassified
channel-180.pod5	0efe5eda-9085-4152-8abf-9b14ed3a258a	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60078.9	0.607	60079.5	0	295	12	unclassified
channel-180.pod5	3cdd961b-b47a-4895-8f41-52dee67493ba	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60016.6	0.9664	60017.6	0	175	19	unclassified
channel-180.pod5	1b99ea68-fb50-4994-b175-f836acc1de7a	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60076.7	1.1648	60077.9	0	454	26	unclassified
channel-180.pod5	936d9539-50b3-4736-8ea2-e51528bc1a9a	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60189	0.9172	60190	0	334	20	unclassified
channel-180.pod5	b51dd72a-92f8-434f-8fb8-246f9482a6c2	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60070.9	2.1274	60073.1	0	887	20	unclassified
channel-180.pod5	e37a7ad8-7865-4c21-a50e-948a968884c2	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60190.7	1.0262	60191.8	0	383	11	unclassified
channel-180.pod5	330ee1ad-b8bd-4277-9d55-547cea7dd31f	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60081.3	3.535	60084.9	0	1421	26	unclassified
channel-180.pod5	c34eb19d-bdb8-40fb-bd11-4b9c48a76e58	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	59998.5	1.6668	60000.2	0	262	19	unclassified
channel-180.pod5	d5412765-85f8-4429-89d8-55b7b71bbac0	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60405	0.8116	60405.8	0	309	24	unclassified
channel-180.pod5	76d1238a-1a52-4018-95dc-34032a2ac761	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60366.6	0.8256	60367.4	0	272	23	unclassified
channel-180.pod5	c5341276-6902-4663-9e2c-0275e9841c01	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60008.3	5.9734	60014.2	0	2817	18	unclassified
channel-180.pod5	1240d811-1021-48af-a442-7839d70d4534	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60240.4	0.6792	60241.1	0	266	16	unclassified
channel-180.pod5	ad26f75f-ec33-4878-a403-0e2997337fdb	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60174.2	7.6718	60181.9	0	3430	25	unclassified
channel-180.pod5	f01a59c4-09d7-497a-a8b1-4caf7b8655bd	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60398.9	0.759	60399.6	0	394	18	unclassified
channel-180.pod5	34945438-343a-4af4-8762-ab1dca26d503	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60421.8	0.7538	60422.5	0	267	15	unclassified
channel-180.pod5	1a51f489-202e-45c8-8278-88f43aecfd39	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60022.1	0.6818	60022.8	0	298	17	unclassified
channel-180.pod5	79afde42-a79d-4e78-8c10-6ef2c7f1b095	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60230.1	1.1546	60231.3	0	413	23	unclassified
channel-180.pod5	f5b6d8f1-f828-4648-b2ec-b0a999d9c4fd	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60470.9	1.2154	60472.2	0	460	19	unclassified
channel-180.pod5	31eb9885-a315-4366-871e-300dfb6a4374	5904f7ca6b863af8f0f1c7af4f72c17cc8513c6f	180	4	60513.1	0.6346	60513.7	0	241	26	unclassified
